SpeedLimit	Date	Time
40	2025-10-12 14:21:21
120	2025-10-12 14:21:50
20	2025-10-12 14:21:52
100	2025-10-12 14:23:08
80	2025-10-12 14:24:06
60	2025-10-12 14:24:16
20	2025-10-12 14:31:52
100	2025-10-12 14:32:07
40	2025-10-12 14:32:45
60	2025-10-12 14:32:45
80	2025-10-12 14:35:39
80	2025-10-24 19:05:51
30	2025-10-24 19:06:25
100	2025-10-24 19:06:26
20	2025-10-24 19:07:58
100	2025-10-24 19:11:27
60	2025-10-24 19:12:03
40	2025-10-24 19:12:57
100	2025-10-28 19:45:42
20	2025-10-28 19:46:02
120	2025-10-28 19:46:03
60	2025-10-28 19:49:34
40	2025-10-28 19:49:48
50	2025-10-28 19:52:15
30	2025-10-28 19:52:27
30	2025-10-28 19:55:47
50	2025-10-28 19:56:34
60	2025-10-28 19:58:38
20	2025-10-28 19:59:15
120	2025-10-28 19:59:22
100	2025-10-28 20:01:29
40	2025-10-28 20:02:05
60	2025-10-28 20:26:45
50	2025-10-28 20:26:45
120	2025-10-29 21:08:55
100	2025-10-29 21:09:39
60	2025-10-29 21:09:47
80	2025-10-29 21:09:55
50	2025-10-29 21:10:28
20	2025-10-29 21:10:58
